ID,Severity,Start_Time,End_Time,Distance(mi),Start_Lat,Start_Lng,City,County,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-267817,2,2017-01-02 21:03:49,2017-01-02 21:33:36,0.0,29.595535,-95.228981,Houston,Harris,62.6,68.0,10.0,0.0,0.0,Partly Cloudy
A-267819,3,2017-01-02 21:12:53,2017-01-02 21:42:01,0.01,29.833372,-95.384331,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267820,2,2017-01-02 21:20:26,2017-01-02 21:50:08,0.01,29.812897,-95.429428,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267821,2,2017-01-02 21:18:31,2017-01-02 21:48:19,0.01,29.708374,-95.390518,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267825,2,2017-01-02 21:39:22,2017-01-02 22:09:07,0.01,29.663897,-95.337135,Houston,Harris,57.9,81.0,10.0,3.5,0.0,Partly Cloudy
A-267826,2,2017-01-02 21:46:14,2017-01-02 22:15:50,0.01,29.959887,-95.429176,Houston,Harris,57.0,87.0,10.0,0.0,0.0,Partly Cloudy
A-267827,2,2017-01-02 21:42:57,2017-01-02 22:12:09,0.01,29.730185,-95.381004,Houston,Harris,66.2,52.0,10.0,5.8,0.0,Clear
A-267829,2,2017-01-02 22:10:27,2017-01-02 22:40:15,0.0,29.731112,-95.589302,Houston,Harris,53.1,96.0,10.0,0.0,0.0,Clear
A-267830,2,2017-01-02 22:06:20,2017-01-02 22:36:00,0.01,29.600216,-95.286446,Houston,Harris,57.9,81.0,10.0,3.5,0.0,Partly Cloudy
A-267834,2,2017-01-02 22:48:11,2017-01-02 23:18:02,0.0,29.733063,-95.484245,Houston,Harris,64.4,59.0,10.0,0.0,0.0,Clear
A-267835,2,2017-01-02 22:47:47,2017-01-02 23:32:36,0.01,29.965422,-95.426506,Houston,Harris,53.1,96.0,10.0,3.5,0.0,Partly Cloudy
A-267836,2,2017-01-02 22:48:33,2017-01-02 23:18:19,0.0,29.864471,-95.383141,Houston,Harris,53.1,96.0,10.0,3.5,0.0,Partly Cloudy
A-267837,2,2017-01-02 22:52:12,2017-01-02 23:21:57,0.01,29.757673,-95.383041,Houston,Harris,64.4,59.0,10.0,0.0,0.0,Clear
A-267838,2,2017-01-02 22:43:20,2017-01-02 23:27:57,0.01,29.939081,-95.38147,Houston,Harris,53.1,96.0,10.0,3.5,0.0,Partly Cloudy
A-267839,2,2017-01-02 22:52:39,2017-01-02 23:22:23,0.01,29.599678000000004,-95.286316,Houston,Harris,59.0,83.0,10.0,6.9,0.0,Clear
A-267842,2,2017-01-02 23:30:50,2017-01-03 00:00:40,0.01,29.731657,-95.501213,Houston,Harris,64.4,64.0,10.0,8.1,0.0,Clear
A-267844,2,2017-01-02 23:43:55,2017-01-03 00:17:39,0.0,29.78045800000001,-95.35302,Houston,Harris,64.4,64.0,10.0,8.1,0.0,Clear
A-267845,2,2017-01-02 23:47:27,2017-01-03 00:17:11,0.0,29.716833,-95.346176,Houston,Harris,64.4,64.0,10.0,5.8,0.0,Clear
A-267848,2,2017-01-03 06:30:25,2017-01-03 06:59:41,0.0,29.8459,-95.402985,Houston,Harris,62.6,72.0,10.0,6.9,0.0,Clear
A-267850,2,2017-01-03 07:17:06,2017-01-03 07:46:37,0.01,29.782581,-95.644501,Houston,Harris,48.9,100.0,5.0,6.9,0.0,Clear
A-267853,2,2017-01-03 07:34:06,2017-01-03 08:03:39,0.01,29.93755,-95.482979,Houston,Harris,55.9,87.0,10.0,9.2,0.0,Overcast
A-267856,2,2017-01-03 07:43:50,2017-01-03 08:13:32,0.01,29.814087,-95.459259,Houston,Harris,59.0,88.0,10.0,10.4,0.0,Clear
A-267857,3,2017-01-03 07:44:22,2017-01-03 08:14:07,0.0,29.75580200000001,-95.351875,Houston,Harris,59.0,88.0,10.0,10.4,0.0,Clear
A-267858,3,2017-01-03 07:50:15,2017-01-03 08:20:04,0.01,29.647141,-95.337341,Houston,Harris,55.9,90.0,10.0,6.9,0.0,Mostly Cloudy
A-267863,2,2017-01-03 08:00:33,2017-01-03 08:30:16,0.01,29.714975,-95.59642,Houston,Harris,51.1,100.0,7.0,0.0,0.0,Clear
A-267865,2,2017-01-03 07:56:50,2017-01-03 08:26:32,0.01,29.762144,-95.36837,Houston,Harris,59.0,82.0,10.0,9.2,0.0,Clear
A-267871,2,2017-01-03 08:20:04,2017-01-03 08:49:50,0.01,29.871632,-95.281487,Houston,Harris,55.9,87.0,10.0,9.2,0.0,Overcast
A-267875,2,2017-01-03 08:25:45,2017-01-03 08:55:35,0.01,29.751183,-95.368195,Houston,Harris,59.0,82.0,10.0,8.1,0.0,Clear
A-267884,2,2017-01-03 08:36:06,2017-01-03 09:05:35,0.01,29.90209,-95.37307,Houston,Harris,61.0,72.0,10.0,6.9,0.0,Mostly Cloudy
A-267885,2,2017-01-03 08:29:54,2017-01-03 08:59:41,0.01,29.71558,-95.334549,Houston,Harris,59.0,77.0,10.0,11.5,0.0,Clear
A-267886,2,2017-01-03 08:37:22,2017-01-03 09:07:10,0.0,29.67116,-95.261444,Houston,Harris,61.0,83.0,10.0,10.4,0.0,Mostly Cloudy
A-267887,2,2017-01-03 08:31:17,2017-01-03 09:00:19,0.01,29.801964,-95.221031,Houston,Harris,61.0,83.0,10.0,10.4,0.0,Mostly Cloudy
A-267891,2,2017-01-03 08:51:46,2017-01-03 09:21:31,0.01,29.810909,-95.500862,Houston,Harris,60.8,68.0,10.0,6.9,0.0,Clear
A-267892,2,2017-01-03 08:49:51,2017-01-03 09:18:53,1.38,29.937519,-95.459892,Houston,Harris,61.0,72.0,10.0,6.9,0.0,Mostly Cloudy
A-267893,2,2017-01-03 08:52:16,2017-01-03 09:22:05,0.01,29.86556400000001,-95.412552,Houston,Harris,60.8,68.0,10.0,6.9,0.0,Clear
A-267894,2,2017-01-03 08:50:40,2017-01-03 09:20:14,0.01,29.667749,-95.382988,Houston,Harris,60.8,68.0,10.0,6.9,0.0,Clear
A-267903,2,2017-01-03 09:03:38,2017-01-03 09:33:27,0.01,29.628416,-95.482239,Houston,Harris,58.1,97.0,7.0,5.8,0.0,Clear
A-267908,2,2017-01-03 09:11:25,2017-01-03 09:41:15,0.01,29.788895,-95.688385,Houston,Harris,62.6,63.0,9.0,5.8,0.0,Clear
A-267909,2,2017-01-03 09:21:24,2017-01-03 09:51:13,0.01,29.650095,-95.527931,Houston,Harris,62.6,63.0,10.0,8.1,0.0,Clear
A-267910,2,2017-01-03 09:17:46,2017-01-03 09:47:23,0.01,29.613632,-95.419594,Houston,Harris,62.6,63.0,10.0,8.1,0.0,Clear
A-267911,2,2017-01-03 09:13:10,2017-01-03 09:42:57,0.01,29.757662,-95.383698,Houston,Harris,62.6,63.0,10.0,8.1,0.0,Clear
A-267916,2,2017-01-03 09:28:46,2017-01-03 09:58:34,0.0,29.827465000000004,-95.570541,Houston,Harris,64.4,56.0,10.0,5.8,0.0,Clear
A-267917,2,2017-01-03 09:37:21,2017-01-03 10:07:08,0.01,29.723337,-95.49736,Houston,Harris,64.4,56.0,10.0,5.8,0.0,Clear
A-267918,2,2017-01-03 09:40:49,2017-01-03 10:10:29,0.0,29.721066,-95.320045,Houston,Harris,64.4,56.0,10.0,5.8,0.0,Clear
A-267921,2,2017-01-03 09:48:52,2017-01-03 10:18:37,0.01,29.693436,-95.322586,Houston,Harris,64.9,65.0,10.0,10.4,0.0,Mostly Cloudy
A-267922,2,2017-01-03 09:48:19,2017-01-03 10:18:08,0.01,29.697586,-95.29213,Houston,Harris,64.9,65.0,10.0,10.4,0.0,Mostly Cloudy
A-267925,2,2017-01-03 10:00:53,2017-01-03 10:30:32,0.0,29.648712,-95.52356,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267926,2,2017-01-03 10:07:32,2017-01-03 10:37:20,0.0,29.708921000000004,-95.500626,Houston,Harris,68.0,46.0,10.0,6.9,0.0,Clear
A-267927,2,2017-01-03 10:02:02,2017-01-03 10:31:49,0.01,29.812902,-95.411766,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267928,2,2017-01-03 10:01:28,2017-01-03 10:31:12,0.0,29.760448,-95.300468,Houston,Harris,66.2,52.0,10.0,8.1,0.0,Clear
A-267929,2,2017-01-03 10:06:57,2017-01-03 10:36:33,0.01,29.60043,-95.298889,Houston,Harris,64.9,65.0,10.0,10.4,0.0,Mostly Cloudy
A-267934,2,2017-01-03 10:20:26,2017-01-03 10:50:14,0.01,29.813255,-95.645454,Houston,Harris,68.0,49.0,9.0,9.2,0.0,Clear
A-267935,2,2017-01-03 10:19:28,2017-01-03 10:49:15,0.01,29.70500800000001,-95.538002,Houston,Harris,68.0,46.0,10.0,6.9,0.0,Clear
A-267936,2,2017-01-03 10:13:30,2017-01-03 10:43:11,0.01,29.717667,-95.515785,Houston,Harris,68.0,46.0,10.0,6.9,0.0,Clear
A-267937,2,2017-01-03 10:16:08,2017-01-03 10:45:59,0.0,29.86438900000001,-95.391167,Houston,Harris,66.0,56.0,10.0,8.1,0.0,Mostly Cloudy
A-267942,2,2017-01-03 10:29:58,2017-01-03 10:59:46,0.01,29.854252,-95.533707,Houston,Harris,69.1,44.0,10.0,8.1,0.0,Clear
A-267943,2,2017-01-03 10:25:38,2017-01-03 10:55:27,0.01,29.870811,-95.420715,Houston,Harris,71.1,38.0,10.0,9.2,0.0,Mostly Cloudy
A-267950,2,2017-01-03 10:52:53,2017-01-03 11:22:32,0.01,29.654016,-95.446251,Houston,Harris,71.6,41.0,10.0,5.8,0.0,Clear
A-267951,2,2017-01-03 10:53:34,2017-01-03 11:23:13,0.01,29.597652000000004,-95.38636,Houston,Harris,71.6,41.0,10.0,5.8,0.0,Clear
A-267953,2,2017-01-03 11:09:52,2017-01-03 11:39:30,0.0,29.733356,-95.632477,Houston,Harris,71.1,47.0,10.0,11.5,0.0,Clear
A-267954,3,2017-01-03 11:11:29,2017-01-03 11:41:13,0.01,29.726488,-95.460213,Houston,Harris,73.4,33.0,10.0,11.5,0.0,Clear
A-267955,3,2017-01-03 11:12:13,2017-01-03 11:41:46,0.01,29.848434,-95.333786,Houston,Harris,71.1,38.0,10.0,9.2,0.0,Mostly Cloudy
A-267958,2,2017-01-03 11:14:04,2017-01-03 11:43:49,0.01,29.717609000000003,-95.557983,Houston,Harris,73.4,33.0,10.0,11.5,0.0,Clear
A-267963,3,2017-01-03 11:29:32,2017-01-03 11:58:53,0.01,29.783855,-95.339661,Houston,Harris,73.4,31.0,10.0,13.8,0.0,Clear
A-267967,2,2017-01-03 11:51:15,2017-01-03 12:21:06,0.0,29.729061,-95.348785,Houston,Harris,73.4,27.0,10.0,10.4,0.0,Clear
A-267968,2,2017-01-03 11:47:01,2017-01-03 12:16:45,0.01,29.829222,-95.328903,Houston,Harris,73.0,33.0,10.0,11.5,0.0,Mostly Cloudy
A-267970,3,2017-01-03 11:54:33,2017-01-03 12:24:09,0.01,29.708538,-95.305214,Houston,Harris,73.4,27.0,10.0,10.4,0.0,Clear
A-267971,2,2017-01-03 12:09:14,2017-01-03 12:39:04,0.01,29.60578,-95.476997,Houston,Harris,74.5,39.0,10.0,8.1,0.0,Clear
A-267972,2,2017-01-03 12:12:00,2017-01-03 12:41:49,0.01,29.840914,-95.42878,Houston,Harris,75.2,24.0,10.0,9.2,0.0,Clear
A-267973,2,2017-01-03 12:03:52,2017-01-03 12:33:42,0.01,29.870806,-95.423691,Houston,Harris,73.0,33.0,10.0,11.5,0.0,Mostly Cloudy
A-267975,2,2017-01-03 12:35:14,2017-01-03 13:04:58,0.01,29.72118900000001,-95.520309,Houston,Harris,75.2,24.0,10.0,8.1,0.0,Clear
A-267976,2,2017-01-03 12:48:50,2017-01-03 13:18:28,0.01,29.813177000000003,-95.410316,Houston,Harris,77.0,22.0,10.0,8.1,0.0,Clear
A-267977,3,2017-01-03 12:48:00,2017-01-03 13:17:28,0.01,29.938725,-95.38176,Houston,Harris,73.9,30.0,10.0,8.1,0.0,Mostly Cloudy
A-267978,2,2017-01-03 12:49:46,2017-01-03 13:19:33,0.01,29.714693,-95.363205,Houston,Harris,77.0,22.0,10.0,8.1,0.0,Clear
A-267979,2,2017-01-03 12:49:18,2017-01-03 13:19:03,0.0,29.724892,-95.295853,Houston,Harris,77.0,22.0,10.0,8.1,0.0,Clear
A-267982,2,2017-01-03 13:29:57,2017-01-03 14:35:00,0.01,29.736616,-95.581207,Houston,Harris,75.0,28.0,10.0,10.4,0.0,Clear
A-267983,2,2017-01-03 13:28:55,2017-01-03 14:35:00,0.01,29.737473,-95.514214,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-267984,2,2017-01-03 13:29:35,2017-01-03 14:35:00,0.01,29.727978000000004,-95.433281,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-267985,3,2017-01-03 13:27:11,2017-01-03 14:30:00,0.01,29.814802,-95.375938,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-267989,2,2017-01-03 13:42:21,2017-01-03 14:50:00,0.01,29.733606,-95.382126,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-267995,3,2017-01-03 14:10:13,2017-01-03 15:10:00,0.01,29.773304,-95.455948,Houston,Harris,77.0,22.0,10.0,8.1,0.0,Clear
A-267996,3,2017-01-03 14:22:32,2017-01-03 15:30:00,0.01,29.80427700000001,-95.289017,Houston,Harris,77.0,22.0,10.0,8.1,0.0,Clear
A-267998,2,2017-01-03 14:26:09,2017-01-03 15:35:00,0.01,29.734236,-95.41066,Houston,Harris,77.0,22.0,10.0,9.2,0.0,Clear
A-267999,2,2017-01-03 14:26:41,2017-01-03 15:35:00,0.0,29.646252,-95.238121,Houston,Harris,77.0,23.0,10.0,13.8,0.0,Mostly Cloudy
A-268002,2,2017-01-03 14:47:02,2017-01-03 15:46:47,0.0,29.727631,-95.559738,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-268003,2,2017-01-03 14:47:42,2017-01-03 15:47:32,0.01,29.801334000000004,-95.500885,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-268004,3,2017-01-03 14:49:45,2017-01-03 15:55:00,0.01,29.75420200000001,-95.455444,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-268005,2,2017-01-03 14:47:22,2017-01-03 15:47:10,0.01,29.811907,-95.412277,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-268006,2,2017-01-03 14:46:38,2017-01-03 15:46:26,0.01,29.857016,-95.337776,Houston,Harris,75.0,32.0,10.0,8.1,0.0,Mostly Cloudy
A-268009,2,2017-01-03 14:55:59,2017-01-03 15:55:34,0.4,29.69398300000001,-95.408012,Houston,Harris,77.0,22.0,10.0,6.9,0.0,Clear
A-268011,2,2017-01-03 15:41:11,2017-01-03 16:45:00,0.01,29.850279,-95.564499,Houston,Harris,73.9,32.0,10.0,5.8,0.0,Clear
A-268012,2,2017-01-03 15:57:24,2017-01-03 16:57:10,0.0,29.803049,-95.49559,Houston,Harris,75.2,25.0,9.0,5.8,0.0,Clear
A-268013,2,2017-01-03 15:56:59,2017-01-03 16:56:44,0.01,29.664303000000004,-95.463913,Houston,Harris,75.2,25.0,9.0,5.8,0.0,Clear
A-268015,2,2017-01-03 15:58:08,2017-01-03 16:57:56,0.01,29.768961,-95.410583,Houston,Harris,75.2,25.0,9.0,5.8,0.0,Clear
A-268016,3,2017-01-03 16:01:53,2017-01-03 17:05:00,0.01,29.744165,-95.361115,Houston,Harris,75.2,25.0,9.0,5.8,0.0,Clear
A-268017,2,2017-01-03 15:57:46,2017-01-03 16:57:33,0.01,29.870901,-95.3517,Houston,Harris,75.0,32.0,10.0,9.2,0.0,Mostly Cloudy
A-268018,2,2017-01-03 16:10:00,2017-01-03 17:10:00,0.01,29.704597,-95.557411,Houston,Harris,73.9,29.0,10.0,8.1,0.0,Clear
A-268019,2,2017-01-03 16:10:38,2017-01-03 17:10:25,0.01,29.644251,-95.508308,Houston,Harris,75.2,24.0,10.0,12.7,0.0,Clear
A-268020,2,2017-01-03 16:11:27,2017-01-03 17:11:08,0.01,29.67085100000001,-95.46183,Houston,Harris,75.2,24.0,10.0,12.7,0.0,Clear
A-268021,2,2017-01-03 16:11:00,2017-01-03 17:10:48,0.01,29.738558,-95.410706,Houston,Harris,75.2,24.0,10.0,12.7,0.0,Clear
A-268022,2,2017-01-03 16:19:42,2017-01-03 17:19:18,0.0,29.764017,-95.625443,Houston,Harris,73.9,29.0,10.0,8.1,0.0,Clear
A-268026,2,2017-01-03 16:29:04,2017-01-03 17:28:54,0.01,29.692387,-95.352364,Houston,Harris,75.2,24.0,10.0,5.8,0.0,Clear
A-268027,3,2017-01-03 16:38:28,2017-01-03 17:37:48,0.01,29.780581,-95.454178,Houston,Harris,75.2,24.0,10.0,5.8,0.0,Clear
A-268028,2,2017-01-03 16:36:21,2017-01-03 17:36:04,0.56,29.705633,-95.384644,Houston,Harris,75.2,24.0,10.0,5.8,0.0,Clear
A-268029,2,2017-01-03 16:35:39,2017-01-03 17:35:25,0.01,29.637968,-95.246063,Houston,Harris,73.9,28.0,10.0,8.1,0.0,Mostly Cloudy
A-268033,2,2017-01-03 16:50:15,2017-01-03 17:50:03,0.01,29.779802,-95.606422,Houston,Harris,71.1,34.0,10.0,8.1,0.0,Clear
A-268034,2,2017-01-03 16:49:55,2017-01-03 17:49:38,0.01,29.655752000000003,-95.545563,Houston,Harris,71.1,34.0,10.0,8.1,0.0,Clear
A-268038,3,2017-01-03 17:00:12,2017-01-03 17:59:26,0.01,29.784340000000004,-95.617805,Houston,Harris,71.1,34.0,10.0,8.1,0.0,Clear
A-268042,2,2017-01-03 17:49:28,2017-01-03 18:19:00,0.01,29.689341,-95.557533,Houston,Harris,66.9,40.0,10.0,5.8,0.0,Clear
A-268053,2,2017-01-03 18:02:36,2017-01-03 18:32:27,0.01,29.675085,-95.55365,Houston,Harris,69.8,31.0,10.0,5.8,0.0,Clear
A-268054,2,2017-01-03 18:02:16,2017-01-03 18:32:03,0.01,29.720449,-95.532349,Houston,Harris,69.8,31.0,10.0,5.8,0.0,Clear
A-268055,3,2017-01-03 18:12:44,2017-01-03 18:42:17,0.01,29.728943,-95.460426,Houston,Harris,69.8,31.0,10.0,10.4,0.0,Clear
A-268057,3,2017-01-03 18:27:57,2017-01-03 18:57:18,0.01,29.784723,-95.544769,Houston,Harris,69.8,31.0,10.0,9.2,0.0,Clear
A-268067,3,2017-01-03 18:46:16,2017-01-03 19:15:57,0.01,29.669153,-95.262543,Houston,Harris,68.0,36.0,10.0,5.8,0.0,Scattered Clouds
A-268073,2,2017-01-03 19:11:06,2017-01-03 19:40:46,0.01,29.758007,-95.55851,Houston,Harris,68.0,35.0,10.0,12.7,0.0,Clear
A-268077,2,2017-01-03 19:20:30,2017-01-03 19:49:58,0.01,29.70929000000001,-95.26754,Houston,Harris,68.0,36.0,10.0,5.8,0.0,Scattered Clouds
A-268081,2,2017-01-03 19:46:59,2017-01-03 20:16:31,0.01,29.866838,-95.540726,Houston,Harris,59.0,60.0,10.0,9.2,0.0,Clear
